fid,color_2,name,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
1,2,Abell,889,606,213,3,33,1,4,29,30,424,465,55,43,5,10,118,254,149,186,69,159,105,41,12,4,42,19,515,440,248,192,75,49,4,22,0.07298534,12180.5280869,-107,-45,2.02045011, ,, ,,2034706.4007,5892.82777754,2324.67418218258,316336.062497104
2,2,Allendale,3554,18,3497,8,6,0,5,20,21,1536,2018,179,315,136,181,317,383,315,1039,689,874,253,62,111,34,510,193,1608,1433,818,615,175,99,20,56,0.40628891,8747.46982184,-150,-11,2.47244, ,, ,,11326639.4808,14276.8452329,5624.63468547478,1759173.4382046
3,2,Arcadia,1235,623,537,4,12,0,10,49,31,592,643,101,85,40,55,116,188,164,380,106,305,194,79,23,9,88,40,510,462,356,106,48,14,9,25,0.22606039,5463.14180959,-17,-8,2.67316007, ,, ,,6302176.92999,12268.0789032,4839.57264550472,980017.935924169
4,5,Arlington,2598,33,2496,3,9,0,10,47,17,1219,1379,148,237,92,114,231,297,305,775,399,585,215,63,76,28,294,130,1312,1079,485,594,233,64,24,145,0.18060179,14385.2387423,-437,-126,2.38369011, ,, ,,5034869.06128,9756.11559432,3846.59950618983,783270.832862269
5,2,Armistead Gardens,3458,2698,108,51,14,8,413,166,841,1621,1837,266,330,113,125,272,496,438,929,489,877,431,164,115,47,331,160,1543,1459,981,478,84,26,17,41,0.47279197,7313.99894072,547,176,2.37012004, ,, ,,13180631.0557,16915.7441343,6667.42926297808,2048122.18027663
6,3,Ashburton,2520,33,2431,6,4,0,15,31,39,1082,1438,106,178,79,103,192,214,250,791,607,625,326,99,65,21,234,78,1202,1097,787,310,105,18,14,73,0.35243146,7150.32636247,8,-16,2.29444003, ,, ,,9825186.0708,16042.2275466,6325.78478247068,1527621.2320181
7,4,Baltimore Highlands,2703,1023,700,63,75,11,693,138,1117,1485,1218,253,203,85,95,358,569,413,500,227,514,194,90,108,35,212,119,1148,876,302,574,272,98,45,129,0.15151165,17840.2120197,387,-79,3.08561992, ,, ,,4223885.55096,8315.12539496,3277.86358741139,656088.307988781
8,2,Patterson Park Neighborhood,5820,2904,1682,108,143,2,774,207,1624,2957,2863,506,443,150,149,665,1732,851,1017,307,1152,625,250,157,65,370,195,2569,2095,1185,910,474,187,75,212,0.1689267,34452.8113236,-135,28,2.76897001, ,, ,,4709387.49969,10491.2519841,4131.87839049969,731485.487791341
9,1,Barclay,2181,302,1764,10,23,0,35,47,78,1149,1032,127,129,42,57,255,368,280,740,183,379,119,24,52,10,208,97,1490,955,223,732,535,127,33,375,0.14055223,15517.3631535,-537,-132,2.1329801, ,, ,,3918355.6239,8116.64931187,3201.18468563621,608995.102135378
10,3,Barre Circle,450,228,154,6,34,0,12,16,14,224,226,14,19,7,10,82,165,62,65,26,69,49,14,7,5,13,5,245,209,98,111,36,11,3,22,0.02394857,18790.2626146,117,64,2.15311002, ,, ,,667645.262512,3977.19322677,1568.50134319575,103679.537006293
11,4,Beechfield,3708,363,3216,7,29,0,20,73,87,1638,2070,256,372,174,161,384,573,484,1051,253,970,404,161,95,46,471,266,1554,1440,888,552,114,74,13,27,0.40295492,9202.02177984,-50,30,2.54653, ,, ,,11233693.6567,16371.1585149,6447.51514103153,1744099.00576574
12,4,Belair-Parkside,444,108,299,1,7,0,1,28,10,197,247,24,51,18,33,33,68,54,119,44,106,55,19,5,3,46,23,183,157,121,36,26,5,8,13,0.03221343,13783.0674115,-58,-7,2.8280301, ,, ,,898055.542969,6678.39255968,2634.12234549068,139637.273973291
13,1,Bellona-Gittings,599,481,64,0,35,0,2,17,19,286,313,38,58,20,21,32,39,69,191,131,178,159,63,8,2,11,5,265,246,211,35,19,6,6,7,0.16255973,3684.79933242,0,-9,2.43495988, ,, ,,4531887.16559,8679.20480461,3423.86952879557,705428.952603067
14,5,Berea,3865,32,3784,11,7,0,5,26,35,1749,2116,234,319,133,185,362,382,421,1092,737,930,280,72,119,34,531,193,1815,1518,815,703,297,115,16,166,0.34002464,11366.8232976,-660,-179,2.54216003, ,, ,,9479305.00562,12598.7929985,4967.14660715668,1473072.54102823
15,4,Better Waverly,2874,389,2363,9,27,0,28,58,92,1251,1623,224,260,109,118,306,507,361,790,199,606,173,63,82,39,351,186,1383,1149,434,715,234,60,29,145,0.28177899,10199.4826231,-153,18,2.46475005, ,, ,,7855516.21228,12435.9439128,4904.53898234751,1221244.40489358
16,3,Beverly Hills,669,389,265,1,3,0,8,3,13,309,360,36,46,20,25,44,95,96,234,73,170,112,39,10,4,48,22,317,289,237,52,28,4,6,18,0.10416271,6422.64387354,-132,-3,2.31487989, ,, ,,2903878.11652,7224.23458232,2849.49098640537,451633.272161164
17,4,Biddle Street,1265,8,1239,0,2,0,6,10,10,601,664,97,129,44,66,139,126,155,315,194,314,78,23,39,4,197,84,601,429,208,221,172,45,4,123,0.11285041,11209.5285785,-209,-64,2.94871997, ,, ,,3146076.54431,8917.46879724,3510.87115999189,488815.630363484
18,4,Blythewood,72,67,0,0,0,0,0,5,3,38,34,2,12,2,5,1,2,12,20,16,21,19,8,2,0,0,0,28,26,26,0,2,0,0,2,0.0758924,948.71155783,44,15,2.76922988, ,, ,,2115750.30817,5922.91512629,2337.64920469683,329168.979465769
19,4,Bolton Hill,4974,2807,1581,10,361,2,53,160,163,2215,2759,139,152,49,41,1496,708,479,1070,840,613,439,125,48,22,126,54,2883,2589,693,1896,294,177,8,109,0.22772467,21842.1651763,-318,-83,1.6516, ,, ,,6348574.22766,11003.0889007,4335.45658302374,986511.210367481
20,2,Boyd-Booth,822,25,776,3,1,0,0,17,8,408,414,60,94,26,40,98,106,89,232,77,187,39,13,21,9,127,54,430,275,74,201,155,9,10,136,0.03873237,21222.556703,-164,-38,2.98908996, ,, ,,1079792.29144,4766.04736674,1876.30225829252,167692.603389888
21,3,Brewers Hill,1511,1249,56,24,39,1,104,38,171,737,774,79,56,24,19,129,526,200,309,169,289,182,49,38,16,69,24,754,691,477,214,63,16,18,29,0.08915617,16947.7876045,17,14,2.18669009, ,, ,,2485521.70245,6423.65016866,2532.1914685508,385971.234525874
22,1,Bridgeview/Greenlawn,1975,7,1943,4,2,0,1,18,11,874,1101,119,162,61,84,183,223,243,663,237,460,141,33,61,19,258,101,927,848,394,454,79,25,7,47,0.28330317,6971.33021795,-335,-47,2.32901, ,, ,,7898007.7019,13013.0661243,5128.29595339946,1227061.20088156
23,2,Broadway East,4931,117,4681,15,17,2,15,84,65,2217,2714,456,478,205,245,547,571,588,1272,569,1082,243,85,141,55,698,351,2617,1680,642,1038,937,219,39,679,0.3463413,14237.4010178,-1905,-523,2.87142992, ,, ,,9655402.7196,12525.8043973,4936.97061451987,1500389.71915254
24,4,Broening Manor,1726,1062,343,28,18,1,231,43,429,847,879,130,133,42,74,167,264,225,464,227,390,213,76,48,22,129,58,706,663,352,311,43,29,8,6,0.1625869,10615.8612734,56,-33,2.60331988, ,, ,,4532644.56683,10987.3393262,4327.60694071641,703668.298106688
25,4,Brooklyn,9996,4788,4051,52,148,2,502,453,1149,4870,5126,1055,1163,378,390,1132,1740,1237,2242,659,2279,937,423,320,171,1022,647,4343,3597,1282,2315,746,450,103,193,0.85331795,11714.2736389,867,-10,2.77870011, ,, ,,23789044.0555,24120.2236069,9497.11186304589,3688823.11686017
26,1,Burleith-Leighton,737,5,711,2,0,0,0,19,3,330,407,55,57,23,26,70,90,72,211,133,187,55,12,23,4,109,40,327,291,196,95,36,4,3,29,0.08452922,8718.87755314,33,-3,2.53264999, ,, ,,2356530.23987,7955.35018446,3136.14396609582,366301.895199647
27,1,Butcher's Hill,1889,1320,349,45,68,0,70,37,130,932,957,123,63,29,28,191,634,328,361,132,351,238,79,22,9,91,34,1025,888,454,434,137,42,38,57,0.07764354,24329.1299953,1,28,2.10247993, ,, ,,2164569.26129,5963.73412866,2351.0751602505,336203.8027984
28,1,Callaway-Garrison,1798,35,1720,9,7,0,7,20,11,819,979,97,130,57,70,197,224,233,516,274,443,174,44,52,16,217,73,769,657,368,289,112,14,9,89,0.190305,9447.99100767,-165,-26,2.72603011, ,, ,,5305377.89996,9848.55363569,3885.32153800752,824957.955203123
29,3,Cameron Village,1435,48,1353,7,0,1,11,15,32,642,793,101,127,41,67,145,215,169,414,156,368,139,41,39,18,190,104,725,630,335,295,95,47,7,41,0.10384221,13819.0422776,-158,-18,2.27143001, ,, ,,2894943.30859,8011.33245619,3159.96874590676,450465.864590233
30,4,Canton,12192,10811,485,45,383,11,222,235,641,6017,6175,512,232,80,88,1253,4835,1738,2192,1262,2126,1603,387,198,55,325,91,7336,6406,3893,2513,930,325,212,393,0.57047339,21371.724141,1305,855,1.87871003, ,, ,,15903821.8414,20047.3307609,7896.71351362586,2469522.37050928
31,2,Canton Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48846934,0,0,0,0, ,, ,,69374266.1689,73390.8910249,28924.3944821074,10768272.6667573
32,4,Carroll - Camden Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70301747,0,0,0,0, ,, ,,19598923.8584,32614.0264503,12850.1181219428,3042538.52357718
33,3,Carroll Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34396398,0,0,0,0, ,, ,,9589127.07141,14047.2820415,5532.27620143753,1488742.89398344
34,3,Carroll-South Hilton,1370,40,1315,1,1,0,1,12,13,630,740,84,131,44,62,142,177,169,367,194,340,101,24,47,15,192,76,625,518,315,203,107,27,11,69,0.48509858,2824.168215,-182,-54,2.63513994, ,, ,,13523718.2466,15897.6177032,6266.64729588954,2100162.64543379
35,5,Carrollton Ridge,3645,1222,2162,10,80,1,65,105,108,1752,1893,327,467,173,198,393,484,507,878,218,782,234,108,136,61,412,242,1988,1145,322,823,843,176,51,616,0.22287565,16354.4109497,-1180,-521,3.17118, ,, ,,6213391.71661,10655.0070225,4199.34672629475,964814.104920267
36,3,Cedarcroft,726,633,45,1,28,0,3,16,25,352,374,54,101,26,21,31,35,127,236,95,192,175,94,2,1,15,9,277,263,237,26,14,5,4,5,0.13371576,5429.42693465,137,36,2.74144005, ,, ,,3727766.79431,8018.45088023,3162.53235362878,580271.124722431
37,1,Cedmont,2594,1175,1307,10,50,0,16,36,66,1226,1368,174,214,96,117,205,365,391,757,275,626,382,166,57,20,187,78,1074,976,796,180,98,33,25,40,0.37598718,6899.17136823,13,-32,2.64548993, ,, ,,10481879.1221,15076.2328037,5947.730142862,1630568.64791697
38,2,Cedonia,3316,176,3051,4,15,0,21,49,63,1467,1849,232,298,136,149,364,483,415,940,299,857,391,136,65,29,401,196,1428,1295,742,553,133,77,20,36,0.28220315,11750.4001996,-265,-78,2.56062006, ,, ,,7867340.94531,17746.6729474,7003.79765673965,1223225.61263882
39,2,Central Forest Park,1273,48,1205,1,7,0,1,11,18,606,667,82,100,36,64,121,149,124,374,223,261,119,44,28,8,114,43,571,418,222,196,153,78,19,56,0.1493383,8524.26976047,-216,-96,2.82296991, ,, ,,4163296.35693,8735.00612656,3442.2601980228,647283.16758106
40,2,Central Park Heights,6026,109,5774,11,15,0,22,95,85,2746,3280,492,570,225,297,731,774,713,1572,652,1355,368,97,180,69,807,392,2829,1994,846,1148,835,175,36,624,0.44284568,13607.4487934,-1890,-488,2.95436, ,, ,,12345779.7965,19209.9055291,7579.32276220057,1920356.4583345
41,2,Charles North,1059,216,666,5,100,1,39,32,60,608,451,26,17,6,10,94,209,152,390,155,104,58,10,16,5,30,13,916,716,51,665,200,117,11,72,0.13879817,7629.78315034,-77,-44,1.39664995, ,, ,,3869455.64868,9452.2635282,3726.92354005883,601325.10614786
42,1,Cherry Hill,8367,238,7919,16,21,1,62,110,140,3431,4936,949,1242,398,375,1013,1228,759,1710,693,2096,397,149,193,82,1506,1015,3441,3199,547,2652,242,127,12,103,1.17120628,7143.91659329,595,268,2.61549997, ,, ,,32651226.634,28581.0807665,11253.5899135139,5065329.46738798
43,3,Cheswolde,7270,5654,1053,12,391,11,43,106,170,3296,3974,693,626,248,220,714,1301,733,1353,1382,1661,1354,611,70,30,237,125,3445,3291,1311,1980,154,74,30,50,0.85527834,8500.15670917,876,173,2.20904994, ,, ,,23843696.5583,22004.5813432,8673.51440022168,3711319.35815366
44,4,Chinquapin Park,1309,134,1121,14,7,1,6,26,23,584,725,75,93,50,47,116,140,170,421,197,352,177,48,27,12,148,57,551,525,456,69,26,11,7,8,0.11472921,11409.4739451,-125,-9,2.48380994, ,, ,,3198454.19128,9169.64109685,3615.69174095024,497784.090755384
45,5,Orchard Ridge,546,44,475,9,2,0,7,9,18,216,330,68,80,29,30,60,84,62,103,30,142,9,5,14,8,119,77,273,222,26,196,51,41,10,0,0.27758565,1966.96041383,-1154,-473,2.45946002, ,, ,,7738613.0426,13101.4501548,5161.57963636748,1202695.49246085
46,2,Clifton Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56029005,0,0,0,0, ,, ,,15619927.8088,16821.5788895,6630.50335855764,2428030.78573643
47,5,Coldspring,1029,165,790,5,35,0,4,30,17,413,616,52,57,22,27,51,109,149,300,262,201,124,49,12,6,65,28,630,608,321,287,22,11,3,8,0.64987672,1583.37721653,149,113,1.69243001, ,, ,,18117450.8196,19438.0557115,7671.0594011314,2818668.62752737
