X,Y,fid,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8522867.44453946,4769142.201502,1,27_1, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000007349,5936A004,4509  BELAIR ROAD,Baltimore,MD,21206,1436169.848223,606298.61017464,410, ,Frankford,2,245102602021000,4,NORTHEASTERN,18S UJ 65353 54630, , , ,{B539CABF-622F-4C6E-9AE2-5C648EBBA530}, 
-8525893.75095604,4762539.10360321,2,27_2, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026452,1830009,1919  FLEET ST,Baltimore,MD,21231,1428554.97109126,589545.93185196,1919, ,Fells Point,1,24510203001003,2,SOUTHEASTERN,18S UJ 62920 49577, , , ,{319B2500-6082-4DD9-A866-66308527E3B2}, 
-8524407.62972448,4762175.37993947,3,27_3, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000028637,1878005,2844  HUDSON ST,Baltimore,MD,21224,1432338.03755596,588642.06002074,SAUTE, ,Canton,1,24510101002006,2,SOUTHEASTERN,18S UJ 64067 49276, , , ,{57842273-D14B-4D28-A810-A645F018BED4}, 
-8530754.02382642,4770074.2110732,4,27_4, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000011624,3563006,3998  ROLAND AVE,Baltimore,MD,21211,1416119.97110622,608568.97447395,#1 CHINESE KITCHEN, ,Hampden,14,245101307004001,5,NORTHERN,18S UJ 59260 55457, , , ,{2701DA61-1457-496D-8743-A80949B80232}, 
-8533280.75925621,4762362.83728693,5,27_5, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000034434,2174A001,2481  frederick ave,Baltimore,MD,21223,1409773.53211716,589021.87787385,#1 chinese restaurant, ,Millhill,9,245102005002003,8,SOUTHWESTERN,18S UJ 57194 49544, , , ,{D51ACB6C-38C9-4C55-B221-FE47CE0D7C05}, 
-8526087.91155509,4767728.87736345,6,27_6, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000017010,4128031,2722  HARFORD RD,Baltimore,MD,21218,1428002.42660154,602683.47718735,19TH HOLE, ,Clifton Park,14,24510801011013,4,NORTHEASTERN,18S UJ 62840 53584, , , ,{47F28D66-FE1E-4B2B-BF67-F952B94567B5}, 
-8525014.16587243,4764415.73748642,7,27_7, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000027955,1641026,2510  MCELDERRY ST,Baltimore,MD,21205,1430769.72377461,594308.21823945,3 KINGS, ,McElderry Park,13,24510702004000,2,SOUTHEASTERN,18S UJ 63627 51013, , , ,{ABCC71B6-7907-4626-9296-8A0708924D8A}, 
-8529597.93055516,4767541.65724417,8,27_8, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000013378,3644087,2701  MILES AVE,Baltimore,MD,21211,1419083.92119685,602171.1662364,"3 MILES HOUSE, INC.", ,Remington,7,245101207002011,5,NORTHERN,18S UJ 60120 53488, , , ,{29F44A7F-8A7E-4AF9-A9CE-7390418AC41E}, 
-8525024.92004505,4764574.42629126,9,27_9, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000025035,1625063,2518 E MONUMENT ST,Baltimore,MD,21205,1430740.54256333,594709.89496564,3 W'S TAVERN, ,McElderry Park,13,24510702004001,2,SOUTHEASTERN,18S UJ 63621 51136, , , ,{3769007C-E5B6-494D-AC08-6FEDE78C63BA}, 
-8526130.4934307,4762967.30726863,10,27_10, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026160,1762001,300 S ANN ST,Baltimore,MD,21231,1427948.14889398,590627.63228069,300 SOUTH ANN STREET, ,Upper Fells Point,1,24510202002005,2,SOUTHEASTERN,18S UJ 62743 49911, , , ,{CFFCE3C2-9521-4EC6-8D18-31CC7AF04F22}, 
